Source.Name;Kode_Wilayah;Nama_Wilayah;Jumlah;Nilai;Persentase;Tahun;Periode;Level ;
Nasional 2023 periode 1.xlsx;31;DKI Jakarta;44;150;340.91;2023;1;Nasional;
Nasional 2023 periode 1.xlsx;34;DI Yogyakarta;121;105;86.78;2023;1;Nasional;
Nasional 2023 periode 1.xlsx;52;Nusa Tenggara Barat;177;138;77.97;2023;1;Nasional;
Nasional 2023 periode 1.xlsx;36;Banten;254;191;75.2;2023;1;Nasional;
Nasional 2023 periode 1.xlsx;35;Jawa Timur;979;735;75.08;2023;1;Nasional;
Nasional 2023 periode 1.xlsx;33;Jawa Tengah;882;596;67.57;2023;1;Nasional;
Nasional 2023 periode 1.xlsx;73;Sulawesi Selatan;474;299;63.08;2023;1;Nasional;
Nasional 2023 periode 1.xlsx;19;Kepulauan Bangka Belitung;64;40;62.5;2023;1;Nasional;
Nasional 2023 periode 1.xlsx;17;Bengkulu;180;104;57.78;2023;1;Nasional;
Nasional 2023 periode 1.xlsx;63;Kalimantan Selatan;242;117;48.35;2023;1;Nasional;
Nasional 2023 periode 1.xlsx;51;Bali;120;58;48.33;2023;1;Nasional;
Nasional 2023 periode 1.xlsx;13;Sumatera Barat;282;133;47.16;2023;1;Nasional;
Nasional 2023 periode 1.xlsx;32;Jawa Barat;1106;512;46.29;2023;1;Nasional;
Nasional 2023 periode 1.xlsx;61;Kalimantan Barat;249;115;46.18;2023;1;Nasional;
Nasional 2023 periode 1.xlsx;64;Kalimantan Timur;188;78;41.49;2023;1;Nasional;
Nasional 2023 periode 1.xlsx;11;Aceh;366;142;38.8;2023;1;Nasional;
Nasional 2023 periode 1.xlsx;81;Maluku;241;90;37.34;2023;1;Nasional;
Nasional 2023 periode 1.xlsx;16;Sumatera Selatan;352;125;35.51;2023;1;Nasional;
Nasional 2023 periode 1.xlsx;82;Maluku Utara;150;53;35.33;2023;1;Nasional;
Nasional 2023 periode 1.xlsx;53;Nusa Tenggara Timur;435;150;34.48;2023;1;Nasional;
Nasional 2023 periode 1.xlsx;21;Kepulauan Riau;96;32;33.33;2023;1;Nasional;
Nasional 2023 periode 1.xlsx;18;Lampung;322;106;32.92;2023;1;Nasional;
Nasional 2023 periode 1.xlsx;14;Riau;240;79;32.92;2023;1;Nasional;
Nasional 2023 periode 1.xlsx;15;Jambi;212;68;32.08;2023;1;Nasional;
Nasional 2023 periode 1.xlsx;94;Papua Tengah;125;40;32.0;2023;1;Nasional;
Nasional 2023 periode 1.xlsx;12;Sumatera Utara;620;170;27.42;2023;1;Nasional;
Nasional 2023 periode 1.xlsx;72;Sulawesi Tengah;219;57;26.03;2023;1;Nasional;
Nasional 2023 periode 1.xlsx;71;Sulawesi Utara;199;48;24.12;2023;1;Nasional;
Nasional 2023 periode 1.xlsx;94;Papua;121;27;22.31;2023;1;Nasional;
Nasional 2023 periode 1.xlsx;76;Sulawesi Barat;98;19;19.39;2023;1;Nasional;
Nasional 2023 periode 1.xlsx;62;Kalimantan Tengah;204;37;18.14;2023;1;Nasional;
Nasional 2023 periode 1.xlsx;95;Papua Pegunungan;178;31;17.42;2023;1;Nasional;
Nasional 2023 periode 1.xlsx;74;Sulawesi Tenggara;308;50;16.23;2023;1;Nasional;
Nasional 2023 periode 1.xlsx;91;Papua Barat;76;12;15.79;2023;1;Nasional;
Nasional 2023 periode 1.xlsx;75;Gorontalo;95;15;15.79;2023;1;Nasional;
Nasional 2023 periode 1.xlsx;93;Papua Selatan;85;11;12.94;2023;1;Nasional;
Nasional 2023 periode 1.xlsx;65;Kalimantan Utara;58;5;8.62;2023;1;Nasional;
Nasional 2023 periode 1.xlsx;96;Papua Barat Daya;91;0;0.0;2023;1;Nasional;
Nasional 2023 periode 2.xlsx;31;DKI Jakarta;44;150;340.91;2023;2;Nasional;
Nasional 2023 periode 2.xlsx;34;DI Yogyakarta;121;105;86.78;2023;2;Nasional;
Nasional 2023 periode 2.xlsx;52;Nusa Tenggara Barat;177;138;77.97;2023;2;Nasional;
Nasional 2023 periode 2.xlsx;36;Banten;254;191;75.2;2023;2;Nasional;
Nasional 2023 periode 2.xlsx;35;Jawa Timur;979;735;75.08;2023;2;Nasional;
Nasional 2023 periode 2.xlsx;33;Jawa Tengah;882;596;67.57;2023;2;Nasional;
Nasional 2023 periode 2.xlsx;73;Sulawesi Selatan;474;299;63.08;2023;2;Nasional;
Nasional 2023 periode 2.xlsx;19;Kepulauan Bangka Belitung;64;40;62.5;2023;2;Nasional;
Nasional 2023 periode 2.xlsx;17;Bengkulu;180;104;57.78;2023;2;Nasional;
Nasional 2023 periode 2.xlsx;63;Kalimantan Selatan;242;117;48.35;2023;2;Nasional;
Nasional 2023 periode 2.xlsx;51;Bali;120;58;48.33;2023;2;Nasional;
Nasional 2023 periode 2.xlsx;13;Sumatera Barat;282;133;47.16;2023;2;Nasional;
Nasional 2023 periode 2.xlsx;32;Jawa Barat;1106;512;46.29;2023;2;Nasional;
Nasional 2023 periode 2.xlsx;61;Kalimantan Barat;249;115;46.18;2023;2;Nasional;
Nasional 2023 periode 2.xlsx;64;Kalimantan Timur;188;78;41.49;2023;2;Nasional;
Nasional 2023 periode 2.xlsx;11;Aceh;366;142;38.8;2023;2;Nasional;
Nasional 2023 periode 2.xlsx;81;Maluku;241;90;37.34;2023;2;Nasional;
Nasional 2023 periode 2.xlsx;16;Sumatera Selatan;352;125;35.51;2023;2;Nasional;
Nasional 2023 periode 2.xlsx;82;Maluku Utara;150;53;35.33;2023;2;Nasional;
Nasional 2023 periode 2.xlsx;53;Nusa Tenggara Timur;435;150;34.48;2023;2;Nasional;
Nasional 2023 periode 2.xlsx;21;Kepulauan Riau;96;32;33.33;2023;2;Nasional;
